Language,Query,Type,MigRef,OffLaw,OffPol,ProPro,ProCon,CloseUp,Children,Border,GroupsRef,GroupsOff,TransLand ,TransSea,Moving,Waiting,violence,Graph,Map
English,refugee routes,REF,14.29,6.72,0.84,0,0,4.2,5.88,4.2,14.29,4.2,5.04,4.2,6.72,7.56,2.52,13.45,5.88
,migrant routes,MIG,11.67,5,1.67,0,0,11.67,10,5,10,5,3.33,1.67,1.67,10,3.33,10,10
French,routes réfugiés,REF,18.75,6.25,1.25,1.25,0,8.75,11.25,3.75,12.5,6.25,6.25,1.25,2.5,16.25,2.5,0,1.25
,routes migrants,MIG,14.29,7.14,2.38,0,0,9.52,9.52,4.76,11.9,4.76,2.38,2.38,2.38,11.9,2.38,0,14.29
Italian,rotte dei rifugiati,REF,30.15,1.47,0.74,0.74,0,11.03,10.29,0.74,10.29,0,0,0.74,0,30.15,0,2.21,1.47
,rotte dei migranti,MIG,14.29,7.14,0,0,0,0,0,3.57,14.29,7.14,7.14,7.14,7.14,7.14,0,3.57,21.43
Spanish,rutas de refugiados,REF,18.75,7.29,0,1.04,0,2.08,9.38,5.21,16.67,5.21,10.42,2.08,10.42,7.29,2.08,0,2.08
,rutas de migrantes,MIG,26,2,0,2,0,8,6,6,12,0,10,4,14,4,2,2,2
German,flüchtlinge routen,REF,16.92,3.08,3.08,0,0,6.15,7.69,4.62,13.85,1.54,7.69,4.62,3.08,10.77,0,16.92,0
,migranten routen,MIG,7.84,3.92,7.84,0,0,5.88,5.88,3.92,7.84,0,1.96,0,1.96,3.92,1.96,25.49,21.57
Dutch,vluchtelingen routes,REF,15.05,5.38,0,0,2.15,1.08,1.08,4.3,12.9,4.3,2.15,13.98,11.83,3.23,12.9,4.3,5.38
,migratie routes,MIG,13.89,2.78,0,0,0,8.33,5.56,2.78,11.11,2.78,8.33,0,2.78,11.11,2.78,8.33,19.44
